.     1697   .     .     .       .     .      .      .      2160     .      .      .     .      .       .     087   1   0   1  0  0 1 0         9     1    0
.    592.27  .     .     .       .     .      .      .      601.65   .     .     .       .     .      .       088   4   0   1  1  0 0 0         10    1    0
.    858.75  .     .     .       .     .      .      .      754.5    .     .     .       .     .      .       088   4   0   1  1  0 0 0         1     1    0
.    489.75  .     .     .       .     .      .      .      615.5    .     .     .       .     .      .       088   4   0   1  1  0 0 0         1     1    0
.    545.5   .     .     .       .     .      .      .      656.5    .     .     .       .     .      .       088   4   0   1  1  0 0 0         1     1    0
.    415.75  .     .     .       .     .      .      .       0       .     .     .       .     .      .       088   4   0   1  1  0 0 0         1     1    0
.   1274.75  .   1249.75 .       .     .      .      .     1313.28   . 1419.49   .       .     .      .       072   4   0   1  0  1 0 0         2     0    1
.   1298.25  .     .     .       .     .      .      .     1625.55   . 1609.43   .       .     .      .       070   4   0   1  1  1 0 0         2     0    1
.   1758.25  .     .     .       .     .      .      .     1936.74   . 1020.23   .       .     .      .       070   4   0   1  1  1 0 0         2     0    1
.   1680     .     .     .       .     .      .      .     1999.46   . 1999.3    .       .     .      .       088   4   0   1  1  1 0 0         2    1     1
.   1143.25  .   1269.5  .       .     .      .      .     1491.3    . 1505.3    .       .     .      .       072   4   0   1  1  1 0 0         2     0    1
.   1391.5   .     .     .       .     .      .      .     1643.52   . 1650.3    .       .     .      .       088   4   0   1  1  1 0 0         2    1     1
.   1510     .     .     .       .     .      .      .     1914.12   . 2008.81   .       .     .      .       070   4   0   1  1  1 0 0         2     0    1
.   1494.75  .     .     .       .     .      .      .     1773.14   . 1770.04   .       .     .      .       088   4   0   1  1  1 0 0         2    1     1
.    912     .     .     .       .     .      .      .      1036     .     .     .       .     .      .       088   4   0   1  1  1 0 0         2    1     1
.    2787.9  .     .     .     .     .     .     .         2642.8    .     .     .       .     .      .       070   3   0   1  1  0   1  1      11    0    1
.    2447.4  .     .     .     .     .     .     .         2487.9    .     .     .       .     .      .       070   3   0   1  1  0   1  1      11    0    1
